time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1905-09-29T11:52:08.890Z,-8.277,127.465,35,7.16,mw,,,,,iscgem,iscgem16957874,2022-04-25T20:24:25.349Z,"58 km ENE of Lospalos, Timor Leste",earthquake,,25,0.38,,reviewed,iscgem,iscgem
1906-06-01T04:30:50.580Z,-2.495,138.56,35,7.84,mw,,,,,iscgem,iscgem16957907,2022-04-25T20:25:00.735Z,"230 km W of Abepura, Indonesia",earthquake,,20.5,0.2,,reviewed,iscgem,iscgem
1906-10-28T15:50:18.060Z,-4.345,101.985,60,6.01,mw,,,,,iscgem,iscgem610548666,2022-04-25T20:40:50.194Z,"67 km SSW of Bengkulu, Indonesia",earthquake,,9.5,0.32,,reviewed,iscgem,iscgem
1906-10-29T01:15:53.960Z,0.185,128.202,15,6.35,mw,,,,,iscgem,iscgem610548667,2022-04-25T20:40:51.165Z,"94 km SE of Sofifi, Indonesia",earthquake,,25,0.31,,reviewed,iscgem,iscgem
1906-11-05T19:51:58.500Z,-2.349,130.16,35,6.43,mw,,,,,iscgemsup,iscgemsup610548669,2022-05-09T15:24:48.949Z,"176 km NE of Amahai, Indonesia",earthquake,,25,0.35,,reviewed,iscgemsup,iscgemsup
1907-01-04T05:19:13.180Z,2.681,95.53,25,8.2,mw,,,,,iscgem,iscgem16957943,2022-04-25T20:28:19.516Z,"97 km WNW of Sinabang, Indonesia",earthquake,,2.5,0.3,,reviewed,iscgem,iscgem
1907-05-25T11:50:28.020Z,-0.595,119.791,35,6.39,mw,,,,,iscgem,iscgem610548684,2022-04-25T20:41:12.412Z,"35 km NNW of Palu, Indonesia",earthquake,,19.8,0.2,,reviewed,iscgem,iscgem
1907-06-24T03:36:12.170Z,1.948,118.921,35,6.31,mw,,,,,iscgem,iscgem610548686,2022-04-25T20:41:18.537Z,"211 km SE of Tarakan, Indonesia",earthquake,,25,0.39,,reviewed,iscgem,iscgem
1907-07-29T19:28:35.080Z,-1.112,120.018,35,6.34,mw,,,,,iscgem,iscgem610548692,2022-04-25T20:41:28.711Z,"Sulawesi, Indonesia",earthquake,,25,0.47,,reviewed,iscgem,iscgem
1907-10-04T10:27:39.910Z,-6.769,104.039,15,6.42,mw,,,,,iscgem,iscgem610548701,2022-04-25T20:41:39.880Z,"200 km SW of Bandar Lampung, Indonesia",earthquake,,6.2,0.2,,reviewed,iscgem,iscgem
1907-12-05T12:36:15.080Z,-7.464,103.696,35,6.22,mw,,,,,iscgemsup,iscgemsup611389650,2022-05-09T15:25:50.586Z,"264 km WSW of Labuan, Indonesia",earthquake,,25,0.38,,reviewed,iscgemsup,iscgemsup
1908-03-23T12:23:41.010Z,-9.04,125.42,35,6.79,mw,,,,,iscgem,iscgem610643056,2022-04-25T20:41:58.466Z,"11 km WSW of Ainaro, Timor Leste",earthquake,,25,0.38,,reviewed,iscgem,iscgem
1908-05-05T06:17:47.170Z,0.513,125.487,35,7.26,mw,,,,,iscgem,iscgem16957992,2022-04-25T20:29:37.212Z,"108 km SE of Tondano, Indonesia",earthquake,,13.2,0.23,,reviewed,iscgem,iscgem
1909-03-17T22:53:10.070Z,-1.213,121.842,35,6.77,mw,,,,,iscgem,iscgem16958019,2022-04-25T20:29:52.705Z,"109 km WSW of Luwuk, Indonesia",earthquake,,8.3,0.36,,reviewed,iscgem,iscgem
1909-04-25T22:35:50.890Z,3.117,127.123,35,6.5,mw,,,,,iscgem,iscgem16958027,2022-04-25T20:29:56.201Z,"182 km NNW of Tobelo, Indonesia",earthquake,,14.2,0.29,,reviewed,iscgem,iscgem
